cam-christ1	Christ’s, Cam	Q714717
cam-christ2	Christ's, Cam	Q714717
cam-clare	Clare, Cam	Q760967
cam-emmanuel	Emmanuel, Cam	Q797892
cam-johns1	St. John’s, Cam	Q691283
cam-johns2	St. John's, Cam	Q691283
cam-kings1	King’s, Cam	Q924289
cam-kings2	King’s Coll. Cam	Q924289
cam-kings3	King’s Cam	Q924289
cam-queens1	Queens’, Cam	Q765642
cam-queens2	Queen’s, Cam	Q765642
cam-queens3	Queens, Cam	Q765642
cam-trin1	Trinity Coll. Cam	Q332342
cam-trin2	Trinity Coll., Cam	Q332342
cam-trin3	Trin. Cam	Q332342
cam-trin4	Trin. Coll. Cam	Q332342
cam-trin5	Trin., Cam	Q332342
cam-trin6	Trinity, Cam	Q332342
cam-trinhall	Trinity Hall, Cam	Q1244704
cam-caius	Caius, Cam	Q863940
oxf-brase1	Brasenose	Q899030
oxf-brase2	B.N.C. Oxf	Q899030
oxf-chch1	Christ Church, Ox	Q745967
oxf-chch2	Ch. Ch. Ox	Q745967
oxf-chch3	Ch.Ch. Ox	Q745967
oxf-chch4	Ch Ch. Ox	Q745967
oxf-chch5	C.C.C. Ox	Q745967
oxf-magd1	Magdalen, Ox	Q81162
oxf-magd2	Magdalen Coll. Ox	Q81162
oxf-new1	New Coll. Ox	Q1376987
oxf-jes1	Jesus, Ox	Q81174
oxf-mer1	Merton, Ox	Q82513
oxf-ccc1	Corpus, Ox	Q1135137
oxf-johns1	St. John’s, Ox	Q609646
oxf-wad1	Wadham, Ox	Q2537765
school-chart	Charterhouse	Q1067870
oxf-ball1	Balliol, Ox	Q805285
oxf-exe1	Exeter, Ox	Q81173
oxf-oriel1	Oriel, Ox	Q81170
oxf-queens1	Queen’s, Ox	Q73094
oxf-queens2	Queen's, Ox	Q73094
oxf-trin1	Trinity, Ox	Q73079
oxf-univ1	Univ. Coll. Ox	Q81087
cam-peter1	Peterhouse, Cam	Q650068
cam-pemb1	Pembroke, Cam	Q956501
cam-corpus1	Corpus Christi, Cam	Q536282
cam-jesus1	Jesus, Cam	Q1146700
school-eton	Eton	Q192088
school-harrow	Harrow	Q1247373
school-rugby	Rugby	Q1143281
school-westminster	Westminster	Q1341516
school-winchester	Winchester	Q1059517
uni-aberdeen	Aberdeen Univ	Q270532
uni-edinburgh	Edinburgh Univ	Q160302
uni-glasgow	Glasgow Univ	Q192775
uni-standrews	St. Andrews Univ	Q216273
uni-trinity1	Trinity, Dublin	Q258464
uni-trinity2	Trinity Coll. Dublin	Q258464
uni-leyden1	Leyden	Q156598
uni-leyden2	Leiden	Q156598
school-edh	Edinburgh h.s	Q2171033
cam-sidsus1	Sidney Sussex, Cam	Q327116
